step,path1,path2,path3,path4,path5,path6,path7,path8,path9,path10,path11,path12,path13,path14,path15,path16,path17,path18,path19,path20,path21,path22,path23,path24,path25,path26,path27,path28,path29,path30,path31,path32,path33,path34,path35,path36,path37,path38,path39,path40,path41,path42,path43,path44,path45,path46,path47,path48,path49,path50
34,107.0300848,104.6999735,90.29613859,106.1092413,102.0913469,98.38021885,115.5514753,111.7577793,104.0327228,109.6726237,104.9779046,101.8733332,104.8886736,103.218514,111.2024246,98.55005071,95.30223976,94.63440784,97.19816734,110.4377635,96.6700321,105.2022572,106.0139944,85.04261856,114.1395742,99.86887295,116.2115327,113.7790657,97.21223894,106.4176152,88.74979758,110.3681653,98.69286218,96.67246746,95.10898971,99.66408892,95.84228834,94.23365032,105.9910754,92.29468111,95.94578293,94.06515279,94.48694572,97.49068533,116.1895151,95.56119278,99.29740199,109.8681629,116.1356609,107.611808
35,106.8405045,104.4303851,91.66447012,106.6917007,101.983039,95.4531496,115.6275509,110.7811423,102.4094721,110.7591819,105.1226395,102.1854462,105.080297,100.1790223,111.0691376,99.00612322,95.9031249,95.06697575,93.85319748,108.0082972,95.42550511,104.3780655,106.646243,84.87745452,115.6757214,100.1326702,114.1263949,115.4193491,97.40549282,106.4480478,90.37618863,110.3919601,98.21108672,95.08935907,95.82289022,99.36021806,96.80988527,94.9854863,108.1300762,92.91342908,93.73592452,92.16807666,95.93432602,94.84748205,113.9000218,96.45980337,99.09057582,108.7920763,112.6807197,106.1480283
36,103.6476514,106.6555767,91.81312073,108.1389739,103.0190785,96.87419091,114.8324335,107.8875606,102.0647896,112.588256,104.3434838,100.2974564,105.4741855,99.61689166,108.1611674,101.9197776,97.52852791,95.27361377,93.59743373,108.9048637,94.98534587,105.1871386,105.7963747,86.96650987,113.5681731,102.0889251,114.7947072,115.4648134,99.16096198,106.8731651,90.61505899,109.5491069,97.26239142,94.26418493,95.86475655,100.0068961,96.79947907,95.69048026,108.6122259,91.55689811,94.01933177,93.44888956,96.32856093,95.863493,111.4946831,96.77071784,99.43417547,110.4944766,112.1392439,104.6389098
37,105.991636,107.1244031,90.10936513,109.7398624,102.8097562,95.79785683,114.9659013,107.2365668,103.076979,112.2560215,106.1232916,101.3198634,106.4222066,99.02889972,107.8696028,102.5184565,99.14554571,95.30140444,93.01409558,109.4348737,95.95778034,104.6025787,105.9993674,86.19032732,115.0476138,101.6026045,114.2343306,115.5553677,99.65389294,106.7863158,90.49336218,110.5964015,98.85508134,93.22739874,95.54872486,100.0259611,95.78939051,97.79607244,108.9524171,91.33135615,94.21453048,93.89260594,95.32528922,97.47704288,112.3248429,97.49658532,100.294703,110.4773642,113.8930976,104.4187591
38,104.8127671,106.6821751,90.34183598,109.8634266,101.6556266,98.89549021,115.6965151,108.8985388,102.4990287,112.2873922,105.3108535,101.8025101,107.0097035,98.69476713,106.7961764,100.5431242,99.13985515,94.61605254,93.5926206,110.1893278,95.52015443,103.6192717,104.7581357,85.92119211,113.5269297,101.0236307,115.719082,112.9492696,100.8925348,106.8522897,90.42723835,110.4632711,97.40642472,91.87869584,94.24464406,99.948752,94.78470823,96.80172109,109.4871491,91.62529241,92.86889694,95.00793202,95.63245399,97.13144877,111.4171777,96.65172789,98.29671679,110.2934413,112.9847513,101.7800712
39,104.6349655,106.7875138,90.59430097,109.681542,101.7035598,101.4539991,115.7679967,108.9781062,102.6828935,110.9237997,106.039733,101.3262055,108.122817,98.12650239,108.3428112,101.5798328,99.97090837,94.43922477,94.89669889,108.8465528,94.92561921,103.6423292,104.4465502,86.31475706,115.4377415,100.4099514,115.4061503,113.4673301,102.1044521,104.7913641,91.4687965,114.84063,96.84895364,91.82949093,94.76341627,100.628024,93.32749888,98.50607674,109.6775228,91.53005827,90.88698656,94.45538095,94.67125353,96.94107304,111.5294315,95.64481057,97.6985007,112.1917531,113.7988818,100.612824
40,103.5113538,110.6610086,93.07425038,112.0129052,100.9628271,101.4186616,113.7934739,106.7480658,106.6138468,110.3169929,107.0293902,101.1184066,108.4945863,100.3566732,107.8799382,100.3650157,100.2596394,94.18514764,95.98362109,108.2741665,96.11315754,102.7845421,104.0414973,84.65604047,116.717463,101.2661184,117.7282332,111.7872339,101.8839311,105.6903102,92.14832402,112.9264359,97.39214694,91.16033691,94.8359449,100.9433472,93.5142165,98.84597697,110.3055621,91.92676076,88.51426114,94.20967539,94.65701438,95.26062128,113.3906412,94.47540919,98.35239513,112.37582,113.8085607,101.0383828
41,102.1263472,110.1085781,92.86263068,112.9493174,100.5030098,101.1042743,113.1749438,107.2112323,107.9035734,111.246798,108.3516179,100.6952241,108.5535063,102.905044,109.8318929,100.4347285,99.5615432,94.10358493,95.07223391,108.9559548,98.81680776,101.9036023,104.0216273,84.68094611,117.18751,99.54571024,117.6394425,112.1646693,102.9339986,103.9485251,93.12515011,114.0244547,99.60724196,92.65665419,95.42629776,101.5983272,94.48062698,100.1290897,109.6626728,93.34587026,88.53920326,91.93269715,96.63471782,95.49193286,111.5957555,96.33542693,98.15696776,113.3304472,113.8518336,102.0045603
42,98.718486,109.997995,91.49877959,110.4757269,102.1229776,100.0980435,111.7160073,109.3459581,104.5150323,111.5625225,106.80287,102.5950505,109.6009614,103.9069281,109.8209522,101.30841,99.84662389,95.27499266,92.14405081,108.2218645,100.1422809,103.6099966,104.1763833,84.8373387,118.2542557,98.03983755,117.4965089,111.5279503,102.2007072,104.7169101,93.70912329,113.3296733,99.64868576,90.70491603,96.67961326,100.4750432,95.43830907,103.8009642,109.82243,92.8154854,89.86196865,90.37755051,98.21067946,96.46565542,110.9674023,97.06151781,98.9958944,111.5079296,113.5723784,102.0919808
43,101.0979026,110.9471743,89.86456444,108.6197253,104.0805559,97.58299602,112.1612147,108.5083635,103.7284114,113.761273,110.0170936,103.6719894,110.5233247,104.9226399,109.3203174,102.1237816,98.81949675,96.12052446,91.69251619,107.8187014,99.52139967,105.2345478,103.6613663,84.4612616,120.2963573,99.64440047,118.5560821,112.7656617,103.4503363,106.2328995,94.53949743,115.401895,101.2374599,93.28873238,95.96757138,100.1746566,93.6545239,104.5290423,108.0938409,93.28916259,89.44102554,89.40646837,95.88174178,97.00972419,110.9310817,100.0020564,99.91892803,107.8447265,113.4564393,101.2110499
44,102.6648983,110.8942988,91.87581429,109.0812068,103.9507024,97.49535094,111.9442779,108.5583088,101.8400574,113.815825,111.0443777,106.2970199,109.7173909,102.0796246,108.058208,104.1355134,96.91645429,96.8591063,91.4685979,107.8731355,99.64728616,107.1026729,103.4480595,84.50445022,121.7895435,101.0818685,119.3770909,113.0955715,101.729248,105.6639295,92.16549367,116.7245129,101.0391964,94.33096704,96.03308924,99.3303742,93.63193057,104.402113,107.5246807,92.33555991,90.29828702,89.16330588,95.02739007,99.44359809,111.2447316,101.9655978,98.39756362,106.187327,112.3566426,102.3997935
